,name,dob,nat,score,events,environment,race,date,performance,place
0,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,400 Metres,19 APR 2014,48.44,Kampala (UGA)
1,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,800 Metres,23 JUL 2011,1:50.76,Kampala (UGA)
2,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,800 Metres,02 JUN 2012,1:50.99,Kampala (UGA)
3,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,800 Metres,20 JUL 2013,1:45.71,Kampala (UGA)
4,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,800 Metres,08 JUN 2014,1:45.27,"Blankers-Koen Stadion, Hengelo (NED)"
5,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,800 Metres,10 MAY 2015,1:46.74,"Todoroki Stadium, Kawasaki (JPN)"
6,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,800 Metres,04 JUN 2016,1:46.35,Oordegem (BEL)
7,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,800 Metres,11 MAY 2019,1:47.43,"Mandela National Stadium, Kampala (UGA)"
8,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1000 Metres,05 SEP 2014,2:17.11,"Boudewijnstadion, Bruxelles (BEL)"
9,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,02 JUN 2012,3:45.57,Kampala (UGA)
10,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,19 JUL 2013,3:38.89,Kampala (UGA)
11,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,11 JUN 2014,3:37.75,Nijmegen (NED)
12,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,24 MAY 2015,3:35.02,"Blankers-Koen Stadion, Hengelo (NED)"
13,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,07 JUN 2016,3:36.23,Montreuil-sous-Bois (FRA)
14,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,11 JUN 2017,3:33.65,"Blankers-Koen Stadion, Hengelo (NED)"
15,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,27 JUN 2018,3:35.33,Nancy (FRA)
16,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,12 JUL 2019,3:30.58,"Stade Louis II, Monaco (MON)"
17,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,04 JUL 2021,3:33.99,"Olympiastadion, Stockholm (SWE)"
18,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,1500 Metres,02 JUL 2022,3:35.60,"Stadion De Veen, Heusden-Zolder (BEL)"
19,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,One Mile,10 MAY 2014,4:02.4h,Kampala (UGA)
20,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,One Mile,01 JUL 2021,3:53.04,"Bislett Stadion, Oslo (NOR)"
21,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,3000 Metres,13 JUN 2018,7:44.78,"Mestský Stadion, Ostrava (CZE)"
22,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,5000 Metres,27 MAY 2015,13:24.41,Nijmegen (NED)
23,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,5000 Metres,15 JUN 2017,13:29.28,Hérouville (FRA)
24,Ronald MUSAGALA,16 DEC 1992,UGA,1141,1500m,Outdoor,5000 Metres,19 JUN 2018,13:37.60,Montreuil (FRA)
25,Gonzalo GARCÍA,26 JAN 1995,ESP,1141,1500m [1500m ind.],Outdoor,800 Metres,07 JUN 2014,1:54.38,Barcelona (ESP)
26,Gonzalo GARCÍA,26 JAN 1995,ESP,1141,1500m [1500m ind.],Outdoor,800 Metres,21 JUN 2015,1:52.80,Torremolinos (ESP)
27,Gonzalo GARCÍA,26 JAN 1995,ESP,1141,1500m [1500m ind.],Outdoor,800 Metres,30 JUN 2018,1:51.38,Málaga (ESP)
28,Gonzalo GARCÍA,26 JAN 1995,ESP,1141,1500m [1500m ind.],Outdoor,800 Metres,11 JUN 2022,1:48.96,Madrid (ESP)
29,Gonzalo GARCÍA,26 JAN 1995,ESP,1141,1500m [1500m ind.],Outdoor,1500 Metres,12 JUN 2014,3:51.38,Huelva (ESP)
30,Gonzalo GARCÍA,26 JAN 1995,ESP,1141,1500m [1500m ind.],Outdoor,1500 Metres,18 JUL 2015,3:46.09,Mataró (ESP)
31,Gonzalo GARCÍA,26 JAN 1995,ESP,1141,1500m [1500m ind.],Outdoor,1500 Metres,25 JUN 2016,3:57.25,Toledo (ESP)
