,name,dob,nat,score,events,environment,race,date,performance,place
0,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,800 Metres,25 AUG 2018,1:58.73,Bedford (GBR)
1,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,800 Metres,07 AUG 2019,1:54.10,Watford (GBR)
2,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,800 Metres,29 AUG 2020,1:53.32,"Lee Valley Athletics Centre, London (GBR)"
3,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,800 Metres,12 JUN 2021,1:50.10,"Woodside Stadium, Watford (GBR)"
4,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,800 Metres,10 AUG 2022,1:49.61,"Woodside Stadium, Watford (GBR)"
5,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,1500 Metres,17 AUG 2019,3:59.21,Gillingham (GBR)
6,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,1500 Metres,28 JUL 2021,3:53.49,"Woodside Stadium, Watford (GBR)"
7,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,1500 Metres,28 MAY 2022,3:46.64,"Sportcity Regional Arena, Manchester (GBR)"
8,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,One Mile,14 MAY 2021,4:13.8h,"Norfolk Athletics Track, Norwich (GBR)"
9,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,3000 Metres,31 OCT 2020,8:49.30,"Norfolk Athletics Track, Norwich (GBR)"
10,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,3000 Metres,29 AUG 2021,8:36.4h,"Norfolk Athletics Track, Norwich (GBR)"
11,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Outdoor,5000 Metres,19 MAR 2022,15:43.09,"Birmingham University Athletics Track, Birmingham (GBR)"
12,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Indoor,600 Metres,01 DEC 2021,1:21.93,"National Indoor Athletics Centre, Cardiff (GBR)"
13,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Indoor,800 Metres,19 FEB 2020,1:53.05,"Lee Valley Athletics Centre, London (GBR)"
14,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Indoor,800 Metres,23 JAN 2022,1:50.50,"Lee Valley Athletics Centre, London (GBR)"
15,Tyler BILYARD,08 OCT 2001,GBR,986,1500m,Indoor,1500 Metres,09 FEB 2022,3:56.35,"Lee Valley Athletics Centre, London (GBR)"
16,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,800 Metres,13 JUN 2018,1:57.53,Getafe (ESP)
17,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,1500 Metres,08 JUL 2018,3:57.83,Getafe (ESP)
18,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,1500 Metres,07 JUL 2019,3:57.17,Granollers (ESP)
19,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,1500 Metres,10 JUL 2021,3:47.06,"Aluche, Madrid (ESP)"
20,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,1500 Metres,16 JUN 2022,3:47.45,Castellón (ESP)
21,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,3000 Metres,12 MAY 2018,8:59.75,Barcelona (ESP)
22,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,3000 Metres,27 APR 2019,8:46.10,Madrid (ESP)
23,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,3000 Metres,20 DEC 2020,8:37.10,Móstoles (ESP)
24,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,3000 Metres,12 JUN 2021,8:38.64,"Estadio Vallehermoso, Madrid (ESP)"
25,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Outdoor,3000 Metres,14 MAY 2022,8:29.04,Sagunto (ESP)
26,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Indoor,1500 Metres,30 DEC 2018,3:56.85,Madrid (ESP)
27,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Indoor,1500 Metres,23 JAN 2021,3:56.31,"Gallur, Madrid (ESP)"
28,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Indoor,1500 Metres,26 FEB 2022,3:51.22,"Pistas Expourense, Ourense (ESP)"
29,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Indoor,3000 Metres,22 DEC 2018,8:49.77,Madrid (ESP)
30,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Indoor,3000 Metres,01 FEB 2020,8:24.86,"Velódromo Luis Puig, Valencia (ESP)"
31,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Indoor,3000 Metres,29 JAN 2021,8:26.24,"Gallur, Madrid (ESP)"
32,Hugo PRIETO,17 MAR 2000,ESP,986,1500m [1500m ind.],Indoor,3000 Metres,02 FEB 2022,8:14.84,"Velódromo Luis Puig, Valencia (ESP)"
33,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,800 Metres,03 AUG 2019,1:59.49,Ninove (BEL)
34,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,800 Metres,01 AUG 2020,1:57.21,Vught (NED)
35,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,800 Metres,14 AUG 2021,1:54.44,"Provincial domain Huizingen, Huizingen (BEL)"
36,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,800 Metres,22 MAY 2022,1:51.66,"Avlo Atletiekclub, Lokeren (BEL)"
37,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,1500 Metres,18 JUL 2020,3:57.04,"Atletiekbaan Maarschalkerweerd, Utrecht (NED)"
38,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,1500 Metres,17 JUL 2021,3:50.62,"VITA Atletiek, Ninove (BEL)"
39,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,1500 Metres,30 JUL 2022,3:48.01,"Netestadion, Lier (BEL)"
40,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,3000 Metres,18 MAY 2019,8:48.84,Lisse (NED)
41,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,3000 Metres,16 MAY 2021,8:16.33,"U-Track, Utrecht (NED)"
42,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,5000 Metres,07 JUN 2019,14:54.45,"De Bongerd, Wageningen (NED)"
43,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,5000 Metres,13 SEP 2020,15:12.22,"Atletikebaan Schothorst, Amersfoort (NED)"
44,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Outdoor,5000 Metres,06 AUG 2021,14:33.90,"Atletiekbaan Maarschalkerweerd, Utrecht (NED)"
45,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Indoor,800 Metres,05 FEB 2022,1:58.64,"Omnisport, Apeldoorn (NED)"
46,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Indoor,1500 Metres,13 FEB 2022,3:51.30,"Omnisport, Apeldoorn (NED)"
47,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Indoor,3000 Metres,15 FEB 2020,8:31.57,"Omnisport, Apeldoorn (NED)"
48,Duncan STEENBAKKER,17 OCT 2001,NED,986,1500m [1500m ind.],Indoor,3000 Metres,27 FEB 2022,8:32.38,"Omnisport, Apeldoorn (NED)"
49,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,800 Metres,06 JUL 2016,1:58.79,Lyon (FRA)
50,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,800 Metres,24 JUN 2017,1:56.02,Decines (FRA)
51,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,800 Metres,30 JUN 2018,1:54.28,Aix-les-Bains (FRA)
52,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,800 Metres,29 SEP 2019,1:56.80,Grenoble (FRA)
53,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,800 Metres,19 SEP 2020,1:51.57,"Stade Municipal, Ambilly (FRA)"
54,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,800 Metres,04 JUN 2022,1:52.12,"Stade Municipal, Ambilly (FRA)"
55,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,1000 Metres,15 APR 2022,2:25.99,Caluire (FRA)
56,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,1500 Metres,10 JUN 2017,3:58.42,Villefranche-sur-Saone (FRA)
57,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,1500 Metres,01 JUN 2018,3:53.72,Montbéliard (FRA)
58,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,1500 Metres,03 AUG 2019,3:54.57,Ninove (BEL)
59,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,1500 Metres,23 SEP 2020,3:49.43,"Stade Régional G. Hebert, Reims (FRA)"
60,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,1500 Metres,11 JUN 2021,3:47.48,"Stade Du Moulin Boisseau, Carquefou (FRA)"
61,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,1500 Metres,09 JUL 2022,3:48.12,"Sportcentrum Wembley, Kortrijk (BEL)"
62,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,10 Kilometres,05 JAN 2020,30:18,Nice (FRA)
63,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,3000 Metres Steeplechase,05 MAY 2019,9:49.85,St-Etienne (FRA)
64,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,3000 Metres Steeplechase,29 AUG 2020,9:05.61,"Stade Raymond Troussier, Decines (FRA)"
65,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,3000 Metres Steeplechase,18 JUL 2021,9:04.76,"Stade R. Bobin, Bondoufle (FRA)"
66,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,3000 Metres Steeplechase,28 MAY 2022,9:16.21,"Sport Vlaanderen Atletiekpiste, Oordegem (BEL)"
67,Matisse VIREY,09 SEP 1997,FRA,986,1500m,Outdoor,4x800 Metres Relay,08 OCT 2017,7:51.39,Salon-de-Provence (FRA)
