,name,dob,nat,score,events,environment,race,date,performance,place
0,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,800 Metres,20 SEP 2021,1:50.24,"NITTAIDAI Athletic Stadium, Yokohama (JPN)"
1,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,1500 Metres,01 NOV 2020,3:47.26,"NITTAIDAI Athletic Stadium, Yokohama (JPN)"
2,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,1500 Metres,10 OCT 2021,3:42.03,"NITTAIDAI Athletic Stadium, Yokohama (JPN)"
3,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,1500 Metres,24 APR 2022,3:45.67,"Universiade Commemorative Stadium, Kobe (JPN)"
4,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,5000 Metres,06 DEC 2020,14:13.94,"NITTAIDAI Athletic Stadium, Yokohama (JPN)"
5,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,5000 Metres,14 NOV 2021,13:50.33,"NITTAIDAI Athletic Stadium, Yokohama (JPN)"
6,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,5000 Metres,22 MAY 2022,13:57.72,"National Stadium, Tokyo (JPN)"
7,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,"10,000 Metres",04 DEC 2021,28:52.54,"NITTAIDAI Athletic Stadium, Yokohama (JPN)"
8,Yuto HIROSAWA,09 SEP 2000,JPN,1019,1500m,Outdoor,3000 Metres Steeplechase,09 JUN 2019,9:44.83,Hiratsuka (JPN)
9,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,06 JUN 2015,1:58.88,"Fitchburg, MA (USA)"
10,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,16 APR 2016,1:54.54,"Amherst, MA (USA)"
11,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,22 APR 2017,1:54.25,"Atlanta, GA (USA)"
12,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,31 MAR 2018,1:52.75,"Palo Alto, CA (USA)"
13,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,22 MAR 2019,1:53.19,"Jacksonville, FL (USA)"
14,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,13 MAY 2016,3:56.19,"Tallahassee, FL (USA)"
15,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,08 APR 2017,3:52.88,"Auburn, AL (USA)"
16,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,10 MAY 2018,3:51.44,"Coral Gables, FL (USA)"
17,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,11 MAY 2019,3:44.34,"Charlottesville, VA (USA)"
18,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,27 JUL 2020,3:47.94,"William Hall High, West Hartford, CT (USA)"
19,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,12 JUN 2021,3:43.93,"Icahn Stadium, New York, NY (USA)"
20,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,20 MAY 2022,3:44.18,"Icahn Stadium, New York, NY (USA)"
21,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,One Mile,03 JUN 2018,4:16.53,"Waltham, MA (USA)"
22,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,One Mile,29 AUG 2020,4:03.30,"Columbia International University, Columbia, SC (USA)"
23,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,One Mile,01 MAY 2021,4:01.14,"UVA Lanningan Field, Charlottesville, VA (USA)"
24,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,One Mile,05 JUN 2022,4:03.46,"Vanderbilt Track, Nashville, TN (USA)"
25,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,14 NOV 2020,14:22.11,"Christian Brothers HS, Memphis, TN (USA)"
26,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,17 APR 2021,14:03.60,"Thomas Edison Park, Edison, NJ (USA)"
27,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,02 APR 2022,14:07.59,"Weaver Stadium, Princeton, NJ (USA)"
28,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,5 Kilometres,06 NOV 2021,14:38,"New York, NY (USA)"
29,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,4x800 Metres Relay,30 APR 2016,7:38.71,"Philadelphia, PA (USA)"
30,Ian RITCHIE,,USA,1019,"1500m [Mile,Mile ind.]",Outdoor,Distance Medley Relay,26 APR 2019,9:51.06,"Philadelphia, PA (USA)"
