,name,dob,nat,score,events,environment,race,date,performance,place
0,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,600 Metres,30 JAN 2015,1:20.37,Pretoria (RSA)
1,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,600 Metres,27 JAN 2017,1:17.86,Pretoria (RSA)
2,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,16 APR 2016,1:47.45,Stellenbosch (RSA)
3,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,09 JUL 2017,1:47.98,Bruxelles (BEL)
4,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,27 MAR 2018,1:48.76,Sasolburg (RSA)
5,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,26 APR 2019,1:49.28,"Lubbock, TX (USA)"
6,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,800 Metres,26 MAR 2022,1:50.29,"Sun Angel Stadium, Tempe, AZ (USA)"
7,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,1000 Metres,10 FEB 2017,2:19.08,Johannesburg (RSA)
8,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,12 MAR 2016,3:53.54,Pretoria (RSA)
9,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,28 FEB 2017,3:41.18,Durban (RSA)
10,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,01 MAR 2018,3:44.04,Johannesburg (RSA)
11,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,02 MAY 2019,3:39.33,"Palo Alto, CA (USA)"
12,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,14 MAY 2021,3:48.93,"Demirjian Park, Champaign, IL (USA)"
13,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,15 APR 2022,3:37.31,"Cougar Athletic Stadium, Azusa, CA (USA)"
14,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,One Mile,22 MAR 2018,3:58.96,Paarl (RSA)
15,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,One Mile,12 FEB 2022,4:00.66,"Dempsey Indoor, Seattle, WA (USA)"
16,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,12 MAY 2019,14:36.21,"Iowa City, IA (USA)"
17,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,01 APR 2022,13:39.51,"Cobb Track and Angell Field, Stanford, CA (USA)"
18,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,800 Metres,26 JAN 2019,1:50.77,"Lincoln, NE (USA)"
19,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,800 Metres,25 JAN 2020,1:49.99,"Bob Devaney Sports Center, Lincoln, NE (USA)"
20,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,800 Metres,25 FEB 2022,1:52.45,"Brick Breeden Fieldhouse, Bozeman, MT (USA)"
21,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,1500 Metres,29 JAN 2022,3:50.15,"Armory Track, New York, NY (USA)"
22,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,One Mile,02 FEB 2019,3:59.61,"Lincoln, NE (USA)"
23,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,One Mile,12 MAR 2021,3:58.24,"Randal Tyson Indoor Center, Fayetteville, AR (USA)"
24,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,One Mile,26 FEB 2022,4:05.65,"Brick Breeden Fieldhouse, Bozeman, MT (USA)"
25,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,3000 Metres,19 JAN 2019,8:08.89,"Ann Arbor, MI (USA)"
26,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,3000 Metres,08 FEB 2020,7:50.93,"Bob Devaney Sports Center, Lincoln, NE (USA)"
27,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,3000 Metres,26 FEB 2022,8:30.64,"Brick Breeden Fieldhouse, Bozeman, MT (USA)"
28,George KUSCHE,06 AUG 1998,RSA,1100,"1500m [Mile,Mile ind.]",Indoor,5000 Metres,23 FEB 2019,14:22.75,"Ann Arbor, MI (USA)"
